Номер канала,Название,ID
0,Чипльдук free (128k),11000000
1,AC DC Forever !,11000001
2,Белая Блоха,11000003
3,Стримы с балкона,11000006
4,Балконный гитарюга (18+),11000010
5,Приемный покой,11000015
6,Приемный покой (стрим),11000021
7,Сошел с орбиты (18+),11000028
8,Первый канал,13000005
9,Первый канал HD,13000672
10,Россия 1,13000673
11,Россия 1 HD,13001007
12,Россия 24,13000697
13,Россия К,13000674
14,НТВ,13001021
15,НТВ HD,13000020
16,СТС,13000709
17,СТС HD,13001024
18,СТС Love,13000689
19,Рен ТВ,13000721
20,Рен ТВ HD,13001025
21,ТНТ,13000710
22,ТНТ HD,13001040
23,Домашний HD,13000024
24,Карусель,13000036
25,ТНТ4 HD,13000712
26,МИР,13000022
27,Спас,13000691
28,Пятый канал,13000713
29,Пятница! HD,13000714
30,ТВ-3 HD,13000688
31,ТВЦ HD,13000687
32,Звезда HD,13000716
33,Че!,13000680
34,Ю,13000678
35,Муз-ТВ,13000717
36,ОТР,13000718
37,Известия HD,13000722
38,RTVi,13001026
39,РБК HD,13000699
40,Москва 24,13000839
41,Доверие,13000840
42,Беларусь 5 HD,13000738
43,UDAR HD,13000724
44,E (GSL),13000605
45,М! Премьер HD,13000725
46,Матч! ТВ HD,13000726
47,М! Футбол 1 HD,13000681
48,М! Футбол 2 HD,13000704
49,М! Футбол 3 HD,13000705
50,М! Арена HD,13000933
51,М! Боец HD,13000934
52,М! Игра HD,13000935
53,М! Планета HD,13000936
54,М! Страна HD,13000937
55,Конный мир HD,13000938
56,Бокс ТВ,13000939
57,Моторспорт,13000943
58,Футбол HD,13000990
59,MMA-TV HD,13000795
60,Eurosport 1 HD,13000727
61,Eurosport 2 HD,13000728
62,Viasat Sport HD,13000729
63,KHL,13000771
64,KHL Prime HD,13000775
65,Драйв,13000871
66,HD REX,13000730
67,Setanta Sports RU 1 HD,13000606
68,Setanta Sports RU 2 HD,13000607
69,Setanta Sports UA HD,13000546
70,Setanta Qazaqstan HD,13001018
71,Setanta Sports UA+ HD,13000547
72,НСТ,13000731
73,Киноужас HD,13000783
74,Страшное HD,13000770
75,A1 HD,13000845
76,A2 HD,13000846
77,AMEDIA PREMIUM HD,13000844
78,AMEDIA HIT,13000932
79,Dizi Channel HD,13001001
80,Дом кино,13000112
81,Дом кино премиум HD,13000732
82,Plan B HD,13000997
83,Хит HD,13000992
84,Про Любовь HD,13000991
85,YOSSO TV GRAND HD,13000947
86,YOSSO TV VHS HD,13000948
87,YOSSO TV KIDS HD,13000949
88,VB VHS Classic,13001183
89,YOSSO TV РУССКИЕ ФИЛЬМЫ HD,13000950
90,YOSSO TV СОВЕТСКИЕ ФИЛЬМЫ HD,13000951
91,VB Российские сериалы,13001186
